OPDEF1,count(1)
OPDEF WE 15-23,1
OPDEF WE 15/20/21-21,1
OPDEF WE 16-22,1
OPDEF WE 16-22 GWS35 B2,1
OPDEF WE 16-23,1
OPDEF WE 17-22,1
OPDEF WE 177-23,1
OPDEF WE 18-22 MML ,1
OPDEF WE 181259Z MAR 22,2
OPDEF WE 19-20,1
OPDEF WE 19-22,2
OPDEF WE 19-23 GMDSS,1
OPDEF WE 20-21/21-21,1
OPDEF WE 20-23 (RT1084),1
OPDEF WE 20/23,1
OPDEF WE 22-21,1
OPDEF WE 23-20,1
OPDEF WE 23-23,1
OPDEF WE 25-22,1
OPDEF WE 27 – 22 ,1
OPDEF WE 27-21.,1
OPDEF WE 27-22,3
OPDEF WE 27-23,1
OPDEF WE 29-20,1
OPDEF WE 29-21,1
OPDEF WE 29-23,1
OPDEF WE 30-20,1
OPDEF WE 33/22 ,1
OPDEF WE 34-22,2
OPDEF WE 35-21,1
OPDEF WE 38-20 Talkback,1
OPDEF WE 39-22,1
OPDEF WE 39-22 MCG C2,1
OPDEF WE 40-19 C2 ,1
OPDEF WE 40-20,1
OPDEF WE 40-21,1
OPDEF WE 40-22,1
OPDEF WE 41-23 INBS B2,2
OPDEF WE 42-21,1
OPDEF WE 42-21 B2,1
OPDEF WE 42-23,1
OPDEF WE 43-21,1
OPDEF WE 43-21 ,1
OPDEF WE 44-21,1
OPDEF WE 46-20 GWS35,1
OPDEF WE 46-22,1
OPDEF WE 46-23 (RECT),1
OPDEF WE 46-23 30MM BFM,1
OPDEF WE 47-20 CESM,1
OPDEF WE 47-21 UAT,1
OPDEF WE 47-22,1
OPDEF WE 49-20,2
"OPDEF WE 51-22, 69-22",1
OPDEF WE 52-22,1
OPDEF WE 54-21,1
OPDEF WE 54-22,1
OPDEF WE 54-22 HRDF C2,1
OPDEF WE 55-21,1
OPDEF WE 55-21 GSA8 A2,1
OPDEF WE 57-20 ,1
OPDEF WE 57-20 CESM,1
OPDEF WE 59-22,1
OPDEF WE 59-22 & 67-22,1
OPDEF WE 60-22 ,1
OPDEF WE 61-23,1
OPDEF WE 62-21,1
OPDEF WE 62-22,1
OPDEF WE 63-22,2
OPDEF WE 64-22,2
OPDEF WE 65-22,1
OPDEF WE 65/22,1
OPDEF WE 67-22,1
OPDEF WE 68-22,1
OPDEF WE 69-22 HRDF B2,1
"OPDEF WE 70-22,",1
OPDEF WE 71-22,1
OPDEF WE 77-23,1
OPDEF WE 78-20 (B2),1
OPDEF WE 79-22,2
OPDEF WE 79-23,2
OPDEF WE 82-23,2
OPDEF WE 88-23,1
OPDEF WE 93-23 (A2),1
OPDEF WE 95-22,1
OPDEF WE 96-22,1
OPDEF WE 98-22,1
OPDEF WE XX/23,1
OPDEF WE-76-22 SITREP 4,1
OPDEF WE006-23,1
OPDEF WE34-20,1
OPDEF WE46-20,1
OPDEF-MONT-WE-81-20,1
OPDEF:134-20,1
OPDEFWE-19-23,1
OPDF ME 01-21,1
OPS 04-20,1
PEMB ME 08-22 ,1
PENZ ME 50-21,1
PENZ ME 51-20,1
PENZ ME OPDEF 02-21,1
PENZ ME OPDEF 34-22,1
PENZ WE 18-20 ES800,1
PENZ-ME-28-21,1
PORLTAND-OPDEF-WE 78-23,1
PORTLAND OPDEF WE 33-22,1
PORTLAND OPDEF/WE 56-22,1
PORTLAND WE OPDEF 84-23,1
PROTECTOR WE 17-21,1
PROTECTOR WE 18-21,1
PROTECTOR WE 19-23,1
PROTECTOR WE 27-21,1
PRTR ME-OPDEF 30-21,1
PRTR OPDEF ME 04-22 DTG,1
PTLD 271612Z Mar 21,1
PTLD OP OPDEF 15-22,1
PTLD WE 48-22,1
PWLS MEOPDEF192-22,1
PWLS OP OPDEF OP 05-21,2
PWLS OPDEF WE 31-22,1
PWLS WE 01-21,1
PWLS WE 12-21,1
PWLS WE 14-21,1
PWLS WE 27-23,1
PWLS WE 35-20,1
"PWLS WE 62-21, OP 02-21",1
PWLS WE 66-22,1
PWLS WE OPDEF 44-22,1
QNLZ WE 51-21 (C2),2
QNLZ WE 55-16,1
RCMD WE 64-22,1
RCMD WE OPDEF 11-21,1
RCMD WE OPDEF 55-22,1
RCMD-ME-02-22,1
RCMD-ME-32-20,1
RFA ARGUS WE010-23 SIT3,1
RICHMOND OPDEF WE 08-21,1
RICHMOND WE 65-22,1
Richmond WE 49-21,1
SCOTT ME 28-20,1
SHOR ME 13-21,1
SHOR WE 60-20,1
SHOR WE 61-20,1
SMST OPDEF ME 022-23,1
SMST OPDEF WE 064-22 ,1
SMST-WE 019-22,1
SOMERSET OPDEF WE 04-22,1
SOMERSET/WE 03-22,1
SPEY ME 31-23,1
SPEY ME 43-23,1
SPEY OPDEF ME ,1
SPEY OPDEF ME 21-22,1
SPEY OPDEF ME 29-22,1
SPEY OPDEF ME 47-22,1
SPEY WE 22-21,1
SVRN ME OPDEF 08-23,1
SVRN OPDEF ME 37-22,1
See Section 4.,1
TAMR ME 49-21,1
TBC,1
TRENT OPDEF 06-21,1
TRENT OPDEF ME 43-20,1
TRENT WE 21-22 B2,1
TRNT ME 07-23.,1
TRNT ME 40-22 & ME 41-2,1
TRNT OPDEF ME 47-22.,1
TRNT OPDEF ME 54-22,1
TRNT WE 02-21 ,1
TYNE ME 16-21,1
TYNE ME OPDEF 22-23,1
"Various, see text.",1
WE 001-21,1
WE 006-23,1
WE 009-023,1
WE 009-23,1
WE 01-21,2
WE 01-21 RRB AFT,1
WE 01-23,2
WE 01/22 A1,1
WE 014-23  ,1
WE 014-23 (A1),1
WE 016-23 ,1
WE 017-20 and WE 001-21,1
WE 019-21,1
WE 02-22,1
WE 022-22,1
WE 023-22,1
WE 029-22,1
WE 03-21,2
WE 03-22 021435z Feb22,1
WE 03-23,2
WE 037-22,1
WE 038-18 B2,1
WE 039-23 & WE 045-23,1
WE 04-20,1
WE 04-21,1
WE 04-22,1
WE 04-23,1
WE 040-23,1
WE 043-20 170824Z SEP20,1
WE 044-22,1
WE 046-17,1
WE 046-20,1
WE 05-22,1
WE 05-23,1
WE 050-22,1
WE 051-23,1
WE 06-20,1
WE 06-21,1
WE 06-22,1
WE 06-22.,1
WE 06-23,2
WE 067-21 ,1
WE 07-20 (RECT),1
WE 07-22,1
WE 072-22,1
WE 08-20,1
WE 08-21,1
WE 08-22,1
WE 08-22 122257Z APR 22,1
WE 08-22 311217Z MAR 22,1
WE 08-23,3
WE 084-21,1
WE 086-18 231928Z OCT18,1
WE 09-20,2
WE 09-22,2
WE 09-23,4
WE 09/21,1
WE 10-23,1
WE 100-22 ,1
WE 11-22,1
WE 11-23,1
WE 116-22,1
WE 117-22,1
WE 12 - 22,1
WE 12-20,1
WE 12-22,1
WE 12-23,1
WE 12/23,1
WE 13-21 ASCG,1
WE 13-22,1
WE 14-19,1
WE 14-22 and WE 13-22,1
WE 14-23,1
WE 14-23 RT1024,1
WE 15-20,1
WE 15-20 refers ,1
WE 15-21,1
WE 15-22,7
WE 16-21,1
WE 16-23,2
WE 17-21,3
WE 17-22,1
WE 17-23,3
WE 18-22,1
WE 18-22 (B1),1
WE 19-20 ,1
WE 19-21 & WE24-21,1
WE 19-21 241130Z MAR 21,1
WE 19-22,2
WE 19-22 071445Z MAR 22,1
WE 19-23,2
WE 19-23 B2,1
WE 20-042 170823ZSEP 20,1
WE 20-22,1
WE 21-13,1
WE 21-21,1
WE 21-21 271700Z MAR 21,1
WE 21-22,2
WE 21-22 111200P Nov 22,1
WE 22-21 ,1
WE 22-22 031201Z SEP 22,1
WE 22-23,2
WE 23-20,1
WE 23-21,1
WE 23-21 151430Z SEP 21,1
WE 23-22,4
WE 23-23,1
WE 24-21,1
WE 24-22,1
WE 25-22,1
WE 25-22 281635Z APR 22,1
WE 25-23,1
WE 25-23 ,1
WE 26 -23 SCCS,1
WE 26-20 (C2),1
WE 26-23 010958Z JUN 23,1
WE 26/20 250752Z SEP 20,1
WE 27-21 B2,1
WE 27-22,1
WE 27-23,2
WE 27-23_271648Z MAY 23,1
WE 28-21,2
WE 28-22,2
WE 28/21,1
WE 29 -20 LRR,1
WE 29-20,1
WE 29-21,1
WE 29-22,2
WE 29-22 ,1
WE 29-22 061516Z Apr 22,1
WE 30-20 (cancelled),1
WE 30-21,1
WE 30-22,1
WE 30-23,1
WE 30-23 201455ZJUN23,1
WE 31-20,1
WE 31-21,1
WE 31-22 021152Z MAY 22,1
WE 31-23,1
WE 32-21,3
WE 32-21 ,1
WE 32-22 B2,1
WE 32-23,1
WE 32-23 A2,1
WE 33-20,1
WE 33-23 ,1
WE 34-18,1
WE 34-23,2
WE 34-23 (A1),1
WE 35-23,1
WE 36-20,1
WE 36-21,1
WE 36-22,3
WE 36-23,1
WE 37-21,2
WE 37-21 ,1
WE 37-23,2
WE 38-21,1
WE 38-22,2
WE 38-23 181208Z JUL 23,1
WE 38/21,1
WE 39-20,1
WE 39-21,1
WE 39-22 and WE15-23,1
WE 39/20,1
WE 40-20,1
WE 40-22,1
WE 41-20,1
WE 41-22,1
WE 41-22 071523Z DEC 22,1
WE 41-22 and WE42-22,1
WE 41/23,1
WE 43-20,1
WE 43-21,2
WE 43-21 ,1
WE 43-21 (C2),1
WE 43-22,2
WE 43-23 091855Z MAY 23,1
WE 44 -20 ,1
WE 44-20,3
WE 44-21 (C2),1
WE 44-22,2
WE 44-22 121100Z JUN 22,2
WE 44-23,2
WE 45-20,2
WE 45-21,1
WE 45-21 151312Z JUL 21,1
WE 45-22,1
WE 45-22 031607Z AUG 22,2
WE 45-23,1
WE 45/23,1
WE 46-22 ,1
WE 46-23,2
WE 47-20,1
WE 48-20,3
WE 48-20 171002Z SEP 20,1
WE 48-21,1
WE 48-22,1
WE 49-22,4
WE 49-22 131301Z JUN 22,1
WE 50-21,2
WE 50-23,1
WE 51-20,1
WE 51-21,2
WE 51-22,2
WE 51/20,1
WE 52-22,1
WE 53-21,1
WE 53-21 Enoder 2 fail,1
WE 53-23,2
WE 54-20,1
WE 54-21,1
WE 54-21 Galley Heating,1
WE 55-20 ,1
WE 55-22,4
WE 56-20,1
WE 56-21,1
WE 57-22,2
WE 57-23,1
WE 58-21,1
WE 58-22 Cancelled,1
WE 58-23,2
WE 59-20,2
WE 59-22,2
WE 59/22,1
WE 60-21,5
WE 60-22,2
WE 60-23,1
WE 60-23 ,1
WE 61-22,2
WE 61-23,2
WE 62-20,1
WE 62-23,1
WE 63/21,1
WE 64-21,1
WE 64-22,1
WE 64-23,2
WE 65-22,1
WE 65-23,1
WE 67-21,2
WE 67-22,1
WE 67-23,1
WE 67-23 260636Z JUN 23,1
WE 68-20,1
WE 69-21,1
WE 69-23,1
WE 69/21,1
WE 70-21,1
WE 70-22,3
WE 71-22,2
WE 71-22 C2,1
WE 72-21,1
WE 72-22,2
WE 72-23,1
WE 73-22,1
WE 73-22 (C2),1
WE 74-23,2
WE 75-22,1
WE 77-22,1
WE 77-23,1
WE 78-21,1
WE 78-23,1
WE 80-20 081402Z DEC 20,1
WE 80-22,1
WE 80/21,1
WE 82-21,1
WE 82-22 S2087 TBHS B2,1
WE 83-23,1
WE 84-21,1
WE 85-20/080832Z NOV 20,1
WE 86 - 20,1
WE 86-22,2
WE 87-21,2
WE 88-23,1
WE 89-21,1
WE 90-20,1
WE 90-21,1
WE 92-20,1
WE 94-20 090550Z OCT 20,1
WE 97-20,1
WE DEFREP 23-23 ,1
WE OPDEF 01-22,2
WE OPDEF 02-23,1
WE OPDEF 03-21,1
WE OPDEF 04-23,1
WE OPDEF 05-22,1
WE OPDEF 051-23,1
WE OPDEF 06-22,1
WE OPDEF 07-21 011902Z ,1
WE OPDEF 08-22,1
WE OPDEF 08-23,1
WE OPDEF 08-23 B2,1
WE OPDEF 09-22,1
WE OPDEF 100-20,1
WE OPDEF 11-23,1
WE OPDEF 12-22,1
WE OPDEF 12-23,1
WE OPDEF 16-21,1
WE OPDEF 16-22,1
WE OPDEF 16-23,1
WE OPDEF 17-20,1
WE OPDEF 17-21,1
WE OPDEF 21-22 081020Z ,1
WE OPDEF 22-20,1
WE OPDEF 22-21,1
WE OPDEF 22-22,2
WE OPDEF 23-21,1
WE OPDEF 23/21,1
WE OPDEF 25-21,1
WE OPDEF 25-23,1
WE OPDEF 26-21,1
WE OPDEF 26-22,1
WE OPDEF 26-23,1
WE OPDEF 27-23 S2193,1
WE OPDEF 28-21 ,1
WE OPDEF 29-21,1
WE OPDEF 29-23,1
WE OPDEF 36-22,1
WE OPDEF 43-19,1
WE OPDEF 47-23,1
WE OPDEF 48-20,1
WE OPDEF 54-23,3
WE OPDEF 54/22,1
WE OPDEF 59-21,1
WE OPDEF 59-22,1
WE OPDEF 61-20,1
WE OPDEF 61-22,1
WE OPDEF 61-23,1
WE OPDEF 64-21,1
WE OPDEF 66-21,1
WE OPDEF 68-22 ,1
WE OPDEF 71-22,1
WE OPDEF 75-21,1
WE OPDEF 88-22,1
WE OPDEF 89-20,1
WE OPDEF 92-22,1
WE opdef 17-21,1
WE010-23,1
WE04-22,1
WE044-23,1
WE048-23,1
WE05/16 (WECDIS),1
WE051-20,1
WE051-23,1
WE053-23,1
WE054-21,1
WE061-23,1
WE064-23,1
WE07-22,1
WE07-22 191657Z JAN 22,1
WE075-23,1
WE077-23,1
WE078-22,1
WE082-23,1
WE102-23 PORT EOSP DLTV,1
WE109-23 192353Z SEP 23,1
WE11-22,1
WE12-21,1
WE13-22 042019Z May 22 ,1
WE22-21,2
WE27/21  291201Z APR 21,1
WE29-23,1
WE30-21,1
WE33-20,1
WE37-20,1
WE37-23,1
WE38-22 DTG:051428Z APR,1
WE39-22,1
WE40/21 211455Z MAY 21,1
WE41-21,1
WE46-21,1
WE61-20,1
WE_28/22 142005Z JUN 22,1
WE_41_22,1
WE_53_22,1
WSTR OPDEF WE 08-22,1
WSTR OPDEF WE 38-22,1
WSTR WE 54-21,1
WSTR WE08-21 DAGR,1
We 44-21,1
dntl-we-53-23,1
me 158-21,1
me-028/20,1
nort we 61-22,1
opdef WE 49-23,1
opdef me 14-23 RECT,1
opdef me 156-23 ,1
opdef we 08-23,1
opdef we 44-23,1
see line 4 above,1
we 04-21,1
we 07-21,1
we 14-21,1
we 17-22,1
we 69-21,1
