table,column,type
CUSTODIANS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
CUSTODIANS,LAST_CHANGED_BY,VARCHAR2(20)
WORK_DONE,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
WORK_DONE,NO_FAULT_FOUND,CHAR(1)
MISSION_TYPES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
TASK_ENVIRONMENT_USAGES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
ITEM_USAGE_DETAILS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
EO_APPLICABILITIES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
MAINTAINED_POSITIONS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
TASK_SCHEDULES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
FSC_STATES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
FSC_STATES,FLIGHT_SER_CERT_STATE_ID,VARCHAR2(80)
FSC_STATES,VERSION_NUMBER,"NUMBER(22,10)"
SEG_CODE_NCMTYPE_RULES,CREATE_ITEM_ORDER,CHAR(1)
SEG_CODE_NCMTYPE_RULES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
SEG_CODE_NCMTYPE_RULES,REPAIR_DEFAULT_WORK_ORDER,VARCHAR2(50)
SEG_CODE_NCMTYPE_RULES,VERSION_NUMBER,"NUMBER(22,10)"
J_AUDIT_TRANSACTION_FIELDS,MULTILINE_HTML_FLAG,VARCHAR2(1)
J_AUDIT_TRANSACTION_FIELDS,OVERFLOW_FLAG,CHAR(1)
SORTIE_REASON_CODES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
LABOR_TYPES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
AIRCRAFT_MASTER_LIVES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
FORECAST_TASKS,BASE_TASK_CODE,VARCHAR2(50)
FORECAST_TASKS,EQUIPMENT_SHUTDOWN_REQUIRED,CHAR(1)
FORECAST_TASKS,IN_WARN,NUMBER(22)
FORECAST_TASKS,INITIAL_COMPLIANCE_PERIOD_USED,VARCHAR2(1)
ITEM_REPLENISHMENT_RECORDS,CERTIFIED_BY,VARCHAR2(20)
ITEM_REPLENISHMENT_RECORDS,CERTIFIED_EMPLOYEE_NO,VARCHAR2(20)
ITEM_REPLENISHMENT_RECORDS,CERTIFIED_NAME,VARCHAR2(40)
ITEM_REPLENISHMENT_RECORDS,CERTIFIED_ON,DATE
ITEM_REPLENISHMENT_RECORDS,CERTIFIED_OVERRIDE,VARCHAR2(400)
ITEM_REPLENISHMENT_RECORDS,COUNTER_SIGNED,CHAR(1)
ITEM_REPLENISHMENT_RECORDS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
TASKS,BASE_TASK_CODE,VARCHAR2(50)
TASKS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
TASKS,EQUIPMENT_SHUTDOWN_REQUIRED,CHAR(1)
TASKS,RECALL_CODE,VARCHAR2(8)
TASKS,REMOVAL_WORK_ORDER_NUMBER,VARCHAR2(20)
TASKS,SHOP_BENCH_CODE,VARCHAR2(20)
TASKS,SYS_NC00098$,DATE
DATA_SECURITY_PROFILES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
DATA_SECURITY_PROFILES,VERSION_NUMBER,"NUMBER(22,10)"
USAGE_PROFILE_DETAILS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
ITEM_KEYS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
MAINTENANCE_TYPES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
WORK_ORDER_LABOR_ESTIMATES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
WORK_ORDER_LABOR_ESTIMATES,LABOR_RATE,"NUMBER(22,15)"
WORK_ORDER_LABOR_ESTIMATES,USER_ID,VARCHAR2(20)
WORK_ORDER_LABOR_ESTIMATES,WORK_ORDER_LABOR_ESTIMATE_ID,VARCHAR2(80)
WORK_ORDER_LABOR_ESTIMATES,WORK_STEP_ID,VARCHAR2(80)
OPERATIONAL_EFFECT_TYPES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
AIRCRAFT_TYPES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
CAASM_RECORDS,BASE_TASK_CODE,VARCHAR2(50)
CAASM_RECORDS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
DEFAULT_WORK_STEP_AUTHS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
MAINTAINED_STRUCTURES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
WORK_ORDER_SYMPTOM_COMMENTS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
DESK_CODES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
FS_PERIODS_OF_VALIDITY,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
FS_PERIODS_OF_VALIDITY,FS_PERIOD_OF_VALIDITY_ID,VARCHAR2(80)
TASK_GROUPS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
DEFAULT_PART_REQUESTS,BOM_REFERENCE_ID,VARCHAR2(80)
DEFAULT_PART_REQUESTS,DEFAULT_WORK_ORDER_ID,VARCHAR2(80)
DEFAULT_PART_REQUESTS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
DEFAULT_PART_REQUESTS,HARDNESS_CRITICAL_ITEM,CHAR(1)
DEFAULT_PART_REQUESTS,PROCUREMENT_MULTIPLIER,"NUMBER(22,15)"
DEFAULT_PART_REQUESTS,QUANTITY_AS_REQUIRED,CHAR(1)
DEFAULT_PART_REQUESTS,REASON_CODE,VARCHAR2(1)
DEFAULT_PART_REQUESTS,REFERENCE_DESIGNATOR,VARCHAR2(20)
DEFAULT_PART_REQUESTS,REFERENCE_INFORMATION,VARCHAR2(120)
DEFAULT_PART_REQUESTS,SERIAL_MANDATORY,CHAR(1)
DEFAULT_PART_REQUESTS,TAGS,VARCHAR2(2)
DEFAULT_PART_REQUESTS,USED_ON,VARCHAR2(50)
PARTS_POS_INFORMATION,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
WORK_ORDER_COMMENTS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
TASK_COMMENTS,BASE_TASK_CODE,VARCHAR2(50)
TASK_COMMENTS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
MAINTENANCE_LEVELS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
CERTIFICATION_POINTS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
FAULTS,CREATED_BY,VARCHAR2(20)
FAULTS,CREATED_ON,DATE
FAULTS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
FAULTS,LAST_CHANGED_BY,VARCHAR2(20)
TASK_DEF_PENALTY_COMMENTS,BASE_TASK_CODE,VARCHAR2(50)
TASK_DEF_PENALTY_COMMENTS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
INTERVAL_MAPPINGS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
WORK_STEP_AUTHS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
DESIGNED_POSITION_INTERVALS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
INSTALL_REMOVE_ITEMS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
INSTALL_REMOVE_ITEMS,INSTALLED_QUANTITY,"NUMBER(22,10)"
INSTALL_REMOVE_ITEMS,INSTALLED_SERIAL_MANDATORY,CHAR(1)
INSTALL_REMOVE_ITEMS,REMOVED_QUANTITY,"NUMBER(22,10)"
INSTALL_REMOVE_ITEMS,REMOVED_SERIAL_MANDATORY,CHAR(1)
INSTALL_REMOVE_ITEMS,REPLACEMENT_REQUEST_ID,VARCHAR2(20)
DATA_INSTANCES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
DATA_INSTANCES,INTIAL_LOAD_BATCH_SEQ_NO,"NUMBER(22,10)"
DATA_INSTANCES,VOUCHER_PREFIX,VARCHAR2(3)
DATA_INSTANCES,WEB_SERVICE_PORT,"NUMBER(22,6)"
FLT_SERV_CERTIFICATES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
FLT_SERV_CERTIFICATES,TR_VALID_UNTIL,DATE
FLT_SERV_CERTIFICATES,WEAPONS_ARMED_REQUIRED,CHAR(1)
WORK_ORDER_FAULT_COMMENTS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
TASK_DEFINITION_COMMENTS,BASE_TASK_CODE,VARCHAR2(50)
TASK_DEFINITION_COMMENTS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
FLIGHT_SCHD_DEVIATION_CODES,ABORT_ALLOWABLE,CHAR(1)
FLIGHT_SCHD_DEVIATION_CODES,CANCEL_ALLOWABLE,CHAR(1)
FLIGHT_SCHD_DEVIATION_CODES,DAILY_ADD_ALLOWABLE,CHAR(1)
FLIGHT_SCHD_DEVIATION_CODES,DAILY_DELETE_ALLOWABLE,CHAR(1)
FLIGHT_SCHD_DEVIATION_CODES,DAILY_MODIFY_FIELD_LIST,VARCHAR2(1000)
FLIGHT_SCHD_DEVIATION_CODES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
FLIGHT_SCHD_DEVIATION_CODES,MONTHLY_ADD_ALLOWABLE,CHAR(1)
FLIGHT_SCHD_DEVIATION_CODES,MONTHLY_DELETE_ALLOWABLE,CHAR(1)
FLIGHT_SCHD_DEVIATION_CODES,MONTHLY_MODIFY_FIELD_LIST,VARCHAR2(1000)
FLIGHT_SCHD_DEVIATION_CODES,USE_FOR_USAGE_POSTING,CHAR(1)
FLIGHT_SCHD_DEVIATION_CODES,WEEKLY_ADD_ALLOWABLE,CHAR(1)
FLIGHT_SCHD_DEVIATION_CODES,WEEKLY_DELETE_ALLOWABLE,CHAR(1)
FLIGHT_SCHD_DEVIATION_CODES,WEEKLY_MODIFY_FIELD_LIST,VARCHAR2(1000)
INSTALL_REMOVE_ITEMS_LIFING,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
PENALTY_STATIC_UPDATES,BASE_TASK_CODE,VARCHAR2(50)
PENALTY_STATIC_UPDATES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
PHYSICAL_SECURITY_CODES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
PHYSICAL_SECURITY_CODES,VERSION_NUMBER,"NUMBER(22,10)"
DIVISION_CODES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
FSC_SIGNATURES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
INTERVAL_TYPES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
ITEM_MOD_IMPLICATIONS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
WORK_PERFORMED,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
WORK_PERFORMED,STEP_STATUS_REASON_CODE,VARCHAR2(20)
WORK_PERFORMED,TYPE_MAINTENANCE_CODE,VARCHAR2(20)
WORK_PERFORMED,UNITS_PRODUCED,VARCHAR2(1)
WORK_PERFORMED,WORK_UNIT_CODE,VARCHAR2(20)
DESIGNED_POSITION_PARTS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
DESIGNED_POSITIONS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
ITEM_SANCTIONS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
AUTHORIZATION_LEVELS,ACTIVE,CHAR(1)
AUTHORIZATION_LEVELS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
MINOR_ITEM_PREFIXES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
CANNIBALIZATION_RECORDS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
INTERFACE_PROCESSES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
INTERFACE_PROCESSES,VERSION_NUMBER,"NUMBER(22,10)"
INCIDENT_TYPES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
WORK_TYPES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
WORK_ORDER_DELAY_CODES,DELAYED_FOR_REQUEST_ID,VARCHAR2(20)
WORK_ORDER_DELAY_CODES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
SUPPLY_RESPONSE_CODES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
DESIGNED_STRUCTURES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
DESIGNED_STRUCTURES,USER_ACCESS_CODE,VARCHAR2(50)
DEMAND_PRIORITIES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
ENGINEERING_ORDERS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
ENGINEERING_ORDERS,EO_AMENDMENT,VARCHAR2(1)
ENGINEERING_ORDERS,EO_BASIC_NO,VARCHAR2(4)
ENGINEERING_ORDERS,EO_DATA_CODE,VARCHAR2(2)
ENGINEERING_ORDERS,EO_KIT,VARCHAR2(2)
ENGINEERING_ORDERS,EO_PART,VARCHAR2(2)
ENGINEERING_ORDERS,EO_REVISION,VARCHAR2(2)
ENGINEERING_ORDERS,EO_SUPPLEMENT,VARCHAR2(2)
ENGINEERING_ORDERS,PREVENT_OUTBOUND,CHAR(1)
TASK_DEFINITION_CARDS,BASE_TASK_CODE,VARCHAR2(50)
TASK_DEFINITION_CARDS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
TIME_ZONES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
SHELF_LIFE_CODES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
SHELF_LIFE_CODES,VERSION_NUMBER,"NUMBER(22,10)"
DEFAULT_WORK_STEPS,ALERT_FREQUENCY,"NUMBER(22,3)"
DEFAULT_WORK_STEPS,BASIC_TASK_UNIT,VARCHAR2(3)
DEFAULT_WORK_STEPS,BIN_LOCATION,VARCHAR2(40)
DEFAULT_WORK_STEPS,DEFAULT_WORK_ORDER_ID,VARCHAR2(80)
DEFAULT_WORK_STEPS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
DEFAULT_WORK_STEPS,FACTORY_WORK_CODE,VARCHAR2(20)
DEFAULT_WORK_STEPS,FLOW_TIME,"NUMBER(22,12)"
DEFAULT_WORK_STEPS,LABOR_DEPARTMENT,VARCHAR2(20)
DEFAULT_WORK_STEPS,OCCURENCE_FACTOR,"NUMBER(22,5)"
DEFAULT_WORK_STEPS,OPERATION_CODE,VARCHAR2(20)
DEFAULT_WORK_STEPS,RESEND_ALERT,CHAR(1)
DEFAULT_WORK_STEPS,RUN_TIME,"NUMBER(22,12)"
DEFAULT_WORK_STEPS,SETUP_TIME,"NUMBER(22,12)"
DEFAULT_WORK_STEPS,SUB_LOCATION,VARCHAR2(40)
DEFAULT_WORK_STEPS,WORK_BAY,VARCHAR2(20)
AIRCRAFT_TYPE_PARTS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
DEFAULT_SCHEDULE_CODES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
ROLE_STATES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
CORRECTION_CODES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
EO_COMMENTS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
J_ATTACHMENTS,DOCUMENT_REFERENCE_ID,VARCHAR2(80)
WORK_ORDER_PARTS_USED,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
WORK_ORDER_MAIN_EQUIPMENT,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
EO_COMPLIANCES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
EO_ROLL_PARTS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
WORK_STEP_AUTH_REQUIREMENTS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
ITEM_SANCTION_COMMENTS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
SITE_CODES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
SITE_CODES,GLOBAL_BILL_TO_ADDRESS,VARCHAR2(80)
SITE_CODES,GLOBAL_PHYSICAL_ADDRESS,VARCHAR2(80)
SITE_CODES,SITE_OFFLINE,CHAR(1)
PENALTY_MARKS,CREATED_BY,VARCHAR2(20)
PENALTY_MARKS,CREATED_ON,DATE
PENALTY_MARKS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
PENALTY_MARKS,LAST_CHANGED_BY,VARCHAR2(20)
DEFAULT_AUTH_REQUIREMENTS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
WEIGHT_BALANCE_TYPES,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
DEFAULT_PROCESS_LISTS,DEFAULT_PROCESS_LIST_ID,VARCHAR2(80)
DEFAULT_PROCESS_LISTS,DEFAULT_WORK_ORDER_ID,VARCHAR2(80)
DEFAULT_PROCESS_LISTS,DEFAULT_WORK_STEP_ID,VARCHAR2(80)
DEFAULT_PROCESS_LISTS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
EO_RECEIPTS,DISTRIBUTED_TRANSACTION_ID,VARCHAR2(255)
